No,tw,a,hw,fyw,tf,bf,fyf,Ss,bl,tst,bst,Pu
171,8,1840,558,305,16,150,427,37.5,0,0,0,652
172,8,1840,558,305,16,150,427,75,0,0,0,610
173,8,1840,558,305,8,300,305,75,0,0,0,525
174,8,1840,558,286,16,150,427,75,0,0,0,625
175,6,1800,1274,276,40,230,250,690,0,0,0,530
176,3.72,2300,800,341,20.2,200,363,280,0,0,0,176
177,3.73,2300,800,341,20.3,201,363,280,0,0,0,228
178,3.72,2300,800,341,20.3,200,363,280,0,0,0,139
179,4.14,2300,800,352,20.3,199,363,280,0,0,0,217
180,3.74,2300,800,341,20.3,200,363,140,0,0,0,178
181,3.73,2300,800,341,20.3,199,363,140,0,0,0,201
182,3.75,2300,800,341,30.3,298,329,280,0,0,0,236
183,3.77,2300,800,341,30.2,300,329,280,0,0,0,264
184,3.75,2300,800,341,30.1,301,329,280,0,0,0,244
185,3.74,2300,800,341,30.3,301,329,280,0,0,0,262
186,3.73,2300,800,341,30.2,301,329,280,0,0,0,205
187,3.74,2300,800,341,30.4,299,329,140,0,0,0,238
188,4.14,2300,800,352,30.1,299,329,140,0,0,0,258
189,6.27,1700,800,329,20.4,201,335,280,0,0,0,439
190,5.97,1700,800,328,20.4,201,335,140,0,0,0,397
191,6.13,2700,800,325,20.2,201,327,280,0,0,0,469
192,5.08,2300,800,332,30.4,299,329,280,0,0,0,309
193,5.11,2300,800,332,30.2,300,329,280,0,0,0,357
194,5.09,2300,800,332,30.1,300,329,280,0,0,0,396
195,7.35,2300,800,378,20.3,201,363,280,0,0,0,544
196,7.33,2300,800,378,20.3,198,363,280,0,0,0,267
197,7.31,2300,800,378,20.2,200,363,280,0,0,0,375
198,7.33,2300,800,378,20.2,200,363,280,0,0,0,204
199,6.42,2300,800,373,20.1,199,363,280,0,0,0,572
200,7.41,2300,800,378,30.9,299,329,280,0,0,0,806
201,7.4,2300,800,378,30.3,301,329,280,0,0,0,314
202,7.46,2300,800,378,30.3,299,329,280,0,0,0,623
203,7.45,2300,800,378,30.2,298,329,280,0,0,0,500
204,6.34,2300,800,373,30.2,300,329,280,0,0,0,631
205,6,1000,1000,319,9,300,320,300,0,0,0,332
206,6,1000,1000,320,9,300,320,500,0,0,0,355
207,6,1000,1000,320,9,300,320,300,0,0,0,353
208,6,1000,1000,325,9,300,320,500,0,0,0,480
209,6,600,1000,340,9,300,320,180,0,0,0,274
210,6,600,1000,405,9,300,320,300,0,0,0,352
211,6,600,1000,365,9,300,320,300,0,0,0,326
212,6,600,1000,320,9,300,320,180,0,0,0,356
213,11.8,2000,1300,215,38.3,302,195,100,0,0,0,888
214,7.7,2000,1300,339,38.1,261,329,100,0,0,0,663
215,4,2400,990,360,10,150,281,40,0,0,0,120
216,4,1800,990,360,10,150,281,40,0,0,0,177
217,4,1800,990,360,10,150,281,40,0,0,0,174
218,4,1800,990,360,10,150,274,40,0,0,0,173
219,4,1800,990,360,10,150,274,40,0,0,0,165
220,4,2400,990,349,8,150,293,40,0,0,0,134
221,4,1800,990,349,8,150,293,40,0,0,0,157
222,4,1800,990,349,8,150,293,40,0,0,0,154
223,4,1800,990,349,8,150,298,40,0,0,0,150
224,4,1800,990,349,8,150,298,40,0,0,0,161
225,5,2400,990,317,8,150,294,40,0,0,0,107
226,5,1800,990,317,8,150,294,40,0,0,0,196
227,5,1800,990,317,8,150,294,40,0,0,0,194
228,5,1800,990,317,8,150,294,40,0,0,0,197
229,5,1800,990,317,8,150,294,40,0,0,0,197
230,3.8,1760,1000,369,83.5,150,293,40,0,0,0,146
231,3.8,1760,1000,369,84.5,150,327,40,0,0,0,146
232,3.8,2480,1000,352,11.9,100,292,40,0,0,0,97
233,3.8,1760,1000,352,11.9,100,292,40,0,0,0,143
234,3.8,1760,1000,352,11.9,100,292,40,0,0,0,145
235,3.8,2480,1000,352,11.9,100,292,40,0,0,0,125
236,3.8,1760,1000,352,11.9,100,292,40,0,0,0,144
237,5.2,2480,1000,305,12,150,286,40,0,0,0,140
238,5.2,1760,1000,305,12,150,286,40,0,0,0,259
239,5.2,1760,1000,305,12,150,277,40,0,0,0,231
240,5.2,1760,1000,300,12,150,279,40,0,0,0,243
241,5.2,1760,1000,300,12,150,284,40,0,0,0,246
242,5,2480,800,292,8.4,150,300,40,0,0,0,114
243,5,1760,800,292,8.4,150,300,40,0,0,0,179
244,5,1760,800,292,8.4,150,300,40,0,0,0,187
245,5,2480,800,301,12,150,291,40,0,0,0,172
246,5,1760,800,301,12,150,291,40,0,0,0,211
247,5,1760,800,301,12,150,286,40,0,0,0,216
248,3.2,900,900,255,5,80,308,90,0,0,0,110
249,6,900,900,306,5,80,308,90,0,0,0,298
250,3.97,300,300,285,10,49,269,30,0,0,0,130
251,4,300,300,270,9.9,50,288,30,0,0,0,148
252,4.01,300,300,281,15.9,50,265,30,0,0,0,170
253,3.97,450,450,267,10,49,267,45,0,0,0,120
254,3.96,450,450,249,15.8,50,265,45,0,0,0,150
255,3.57,600,600,257,10,50,274,60,0,0,0,140
256,3.63,600,600,282,10.1,50,279,60,0,0,0,148
257,3.67,600,600,306,16,49,282,60,0,0,0,150
258,3.97,300,300,285,10,49,269,45,0,0,0,150
259,4,300,300,270,9.9,50,288,60,0,0,0,146
260,4.01,300,300,281,15.9,49,265,30,0,0,0,150
261,3.97,450,450,267,10,49,267,60,0,0,0,136
262,3.96,450,450,249,15.8,50,265,45,0,0,0,160
263,3.57,600,600,257,10,50,274,30,0,0,0,119
264,3.63,600,600,282,10.1,50,279,45,0,0,0,138
265,3.67,600,600,306,16,49,282,60,0,0,0,146
266,2,2400,300,330,6,100,285,180,0,0,0,66
267,2,2400,400,275,8,100,285,180,0,0,0,54
268,2,2400,400,275,8,100,285,180,0,0,0,59
269,2,2400,500,275,10,100,285,180,0,0,0,54
270,2,2400,500,275,10,100,285,180,0,0,0,55
271,2,2900,600,275,12,100,285,180,0,0,0,62
272,2,2900,600,275,12,100,285,0,0,0,0,54
273,2,3500,700,275,15,100,285,180,0,0,0,55
274,2,3500,700,275,15,100,285,0,0,0,0,56
275,2.05,800,800,266,15.5,300,295,40,0,0,0,60
276,2.05,800,800,266,15.5,300,295,40,0,0,0,66
277,2,800,800,266,5.07,120,285,40,0,0,0,38
278,2,800,800,266,5.07,120,285,40,0,0,0,41
279,2.12,2500,800,300,15.4,300,295,40,0,0,0,64
280,2.12,1200,800,300,15.4,300,295,40,0,0,0,66
281,3.03,2500,800,245,12,250,265,40,0,0,0,84
